update,outcome,loss,ev,kl,clipfrac,entropy,pass_frac,optional_pass,baseline,top_name,top_frac,eval_win,eval_loss,eval_draw
100,-0.5,-0.0334,0.981,0.01595,0.171,0.628,0.541,0.367,0.162,pass,0.541,0.5,0.5,0.0
101,0.333,-0.0322,0.996,0.01942,0.194,0.572,0.57,0.339,0.086,pass,0.57,,,
102,-0.2,-0.0397,0.998,0.02787,0.27,0.66,0.512,0.378,0.119,pass,0.512,,,
103,0.0,-0.0321,0.996,0.01458,0.159,0.507,0.564,0.363,0.137,pass,0.564,,,
104,0.2,-0.025,0.996,0.01621,0.174,0.447,0.613,0.305,0.084,pass,0.613,,,
105,-0.2,-0.0335,0.997,0.0267,0.184,0.465,0.523,0.287,0.145,pass,0.523,,,
106,0.0,-0.0293,0.996,0.04248,0.229,0.424,0.604,0.302,0.113,pass,0.604,,,
107,0.0,-0.0354,0.922,0.02715,0.215,0.66,0.535,0.365,0.125,pass,0.535,,,
108,-0.2,-0.0244,0.985,0.02831,0.225,0.438,0.66,0.446,0.094,pass,0.66,,,
109,0.5,-0.0377,0.989,0.0172,0.163,0.482,0.605,0.397,0.082,pass,0.605,,,
110,0.0,-0.0308,0.993,0.01566,0.168,0.455,0.623,0.337,0.105,pass,0.623,,,
111,-0.333,-0.0386,0.991,0.02472,0.186,0.529,0.543,0.314,0.135,pass,0.543,,,
112,0.2,-0.0442,0.993,0.02166,0.212,0.594,0.527,0.375,0.096,pass,0.527,,,
113,0.0,-0.0255,0.99,0.03475,0.182,0.342,0.668,0.361,0.088,pass,0.668,,,
114,-1.0,-0.0256,0.983,0.0171,0.13,0.362,0.607,0.287,0.115,pass,0.607,,,
115,0.333,-0.0247,0.972,0.01065,0.111,0.388,0.615,0.352,0.15,pass,0.615,,,
116,0.0,-0.0357,0.978,0.02682,0.182,0.479,0.451,0.268,0.135,pass,0.451,,,
117,-0.2,-0.0386,0.993,0.02353,0.196,0.628,0.436,0.274,0.172,pass,0.436,,,
118,0.6,-0.0455,0.993,0.03208,0.233,0.511,0.537,0.366,0.111,pass,0.537,,,
119,-1.0,-0.032,0.986,0.02487,0.185,0.481,0.527,0.337,0.102,pass,0.527,,,
120,0.2,-0.0313,0.994,0.01315,0.144,0.512,0.564,0.37,0.131,pass,0.564,,,
121,0.6,-0.0377,0.997,0.02203,0.189,0.646,0.438,0.309,0.156,pass,0.438,,,
122,-1.0,-0.0435,0.99,0.03126,0.226,0.547,0.549,0.377,0.158,pass,0.549,,,
123,0.2,-0.042,0.996,0.0199,0.176,0.6,0.531,0.33,0.146,pass,0.531,,,
124,-0.2,-0.033,0.998,0.01996,0.147,0.385,0.617,0.338,0.096,pass,0.617,,,
125,0.2,-0.026,0.99,0.03092,0.174,0.561,0.498,0.372,0.15,pass,0.498,0.5,0.5,0.0
